18:08:43   27.08.2018             Programme Climap                  MeteoSuisse
Heures en UTC 0040 (UTC)  =  01:40 heures Heure d'hiver  =  02:40 heures Heure d'été
Période: 01.01.1753 00:00  -  01.12.2018 00:00 UTC 32767 -> Valeur manquante
nombre de stations  1
    58	Genève / Cointrin        411 m s.m.	498905/ 122632
nombre de paramètres  2
  1802  température de l'air à 2 m du sol; moyenne mensuelle homogène  [°C]
  1649  température de l'air à 2 m du sol; déviation de la moyenne mensuelle homogène par rapport à la norme 6190  [°C]

  STA JAHR MO TG HH MM  1802  1649
   58 1753  1  1  0  0  -3.9  -4.7 
   58 1753  2  1  0  0   1.9  -0.4 
   58 1753  3  1  0  0   6.9   1.8 
   58 1753  4  1  0  0   8.0  -0.8 
   58 1753  5  1  0  0  13.5   0.5 
   58 1753  6  1  0  0  18.5   2.0 
   58 1753  7  1  0  0  19.4   0.3 
   58 1753  8  1  0  0  15.8  -2.4 
   58 1753  9  1  0  0  14.3  -0.6 
   58 1753 10  1  0  0   9.7  -0.4 
   58 1753 11  1  0  0   3.2  -1.8 
   58 1753 12  1  0  0   3.2   1.4 
   58 1754  1  1  0  0  -0.4  -1.2 
   58 1754  2  1  0  0  -0.2  -2.5 
   58 1754  3  1  0  0   1.3  -3.8 
   58 1754  4  1  0  0   7.8  -1.0 
   58 1754  5  1  0  0  14.3   1.3 
   58 1754  6  1  0  0  16.9   0.4 
   58 1754  7  1  0  0  17.4  -1.7 
   58 1754  8  1  0  0  18.8   0.6 
   58 1754  9  1  0  0  14.8  -0.1 
   58 1754 10  1  0  0  11.2   1.1 
   58 1754 11  1  0  0   6.3   1.3 
   58 1754 12  1  0  0   1.3  -0.5 
   58 1755  1  1  0  0  -5.4  -6.2 
   58 1755  2  1  0  0  -1.6  -3.9 
   58 1755  3  1  0  0   4.1  -1.0 
   58 1755  4  1  0  0  13.0   4.2 
   58 1755  5  1  0  0  12.4  -0.6 
   58 1755  6  1  0  0  18.4   1.9 
   58 1755  7  1  0  0  18.5  -0.6 
   58 1755  8  1  0  0  16.4  -1.8 
   58 1755  9  1  0  0  13.6  -1.3 
   58 1755 10  1  0  0   8.9  -1.2 
   58 1755 11  1  0  0   4.1  -0.9 
   58 1755 12  1  0  0   0.7  -1.1 
   58 1756  1  1  0  0   1.4   0.6 
   58 1756  2  1  0  0   2.4   0.1 
   58 1756  3  1  0  0   4.6  -0.5 
   58 1756  4  1  0  0   8.0  -0.8 
   58 1756  5  1  0  0  12.0  -1.0 
   58 1756  6  1  0  0  18.2   1.7 
   58 1756  7  1  0  0  18.3  -0.8 
   58 1756  8  1  0  0  16.3  -1.9 
   58 1756  9  1  0  0  14.9   0.0 
   58 1756 10  1  0  0   9.0  -1.1 
   58 1756 11  1  0  0   2.1  -2.9 
   58 1756 12  1  0  0  -2.3  -4.1 
   58 1757  1  1  0  0  -2.8  -3.6 
   58 1757  2  1  0  0  -0.2  -2.5 
   58 1757  3  1  0  0   3.5  -1.6 
   58 1757  4  1  0  0   9.2   0.4 
   58 1757  5  1  0  0  14.3   1.3 
   58 1757  6  1  0  0  18.0   1.5 
   58 1757  7  1  0  0  21.2   2.1 
   58 1757  8  1  0  0  17.0  -1.2 
   58 1757  9  1  0  0  12.3  -2.6 
   58 1757 10  1  0  0   5.6  -4.5 
   58 1757 11  1  0  0   4.5  -0.5 
   58 1757 12  1  0  0  -0.4  -2.2 
   58 1758  1  1  0  0  -3.8  -4.6 
   58 1758  2  1  0  0   0.1  -2.2 
   58 1758  3  1  0  0   4.8  -0.3 
   58 1758  4  1  0  0   7.9  -0.9 
   58 1758  5  1  0  0  13.9   0.9 
   58 1758  6  1  0  0  17.2   0.7 
   58 1758  7  1  0  0  14.3  -4.8 
   58 1758  8  1  0  0  16.5  -1.7 
   58 1758  9  1  0  0  12.3  -2.6 
   58 1758 10  1  0  0   7.2  -2.9 
   58 1758 11  1  0  0   2.6  -2.4 
   58 1758 12  1  0  0   0.4  -1.4 
   58 1759  1  1  0  0  -0.4  -1.2 
   58 1759  2  1  0  0   1.7  -0.6 
   58 1759  3  1  0  0   4.3  -0.8 
   58 1759  4  1  0  0  10.2   1.4 
   58 1759  5  1  0  0  14.0   1.0 
   58 1759  6  1  0  0  16.1  -0.4 
   58 1759  7  1  0  0  20.7   1.6 
   58 1759  8  1  0  0  17.0  -1.2 
   58 1759  9  1  0  0  15.1   0.2 
   58 1759 10  1  0  0  11.0   0.9 
   58 1759 11  1  0  0   0.5  -4.5 
   58 1759 12  1  0  0  -1.0  -2.8 
   58 1760  1  1  0  0  -1.4  -2.2 
   58 1760  2  1  0  0   0.9  -1.4 
   58 1760  3  1  0  0   2.8  -2.3 
   58 1760  4  1  0  0  12.4   3.6 
   58 1760  5  1  0  0  14.0   1.0 
   58 1760  6  1  0  0  17.5   1.0 
   58 1760  7  1  0  0  19.0  -0.1 
   58 1760  8  1  0  0  16.6  -1.6 
   58 1760  9  1  0  0  14.8  -0.1 
   58 1760 10  1  0  0   9.4  -0.7 
   58 1760 11  1  0  0   4.2  -0.8 
   58 1760 12  1  0  0   2.4   0.6 
   58 1761  1  1  0  0  -3.3  -4.1 
   58 1761  2  1  0  0   2.9   0.6 
   58 1761  3  1  0  0   6.4   1.3 
   58 1761  4  1  0  0   8.7  -0.1 
   58 1761  5  1  0  0  14.8   1.8 
   58 1761  6  1  0  0  16.8   0.3 
   58 1761  7  1  0  0  19.6   0.5 
   58 1761  8  1  0  0  19.3   1.1 
   58 1761  9  1  0  0  15.6   0.7 
   58 1761 10  1  0  0   8.1  -2.0 
   58 1761 11  1  0  0   3.8  -1.2 
   58 1761 12  1  0  0  -2.1  -3.9 
